,CO syn,formic,formald,methanol,acetic,pyruvic,alanine,oxaloac,aspartic,malic,fumaric,succinic,oxoglut,glutamic,acetolac,dihydrox,methylox,valine,glycine,re
CO2,-1,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,1,0,0,0,-1,1
H2,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,-1,1
CO,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2O,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0
formic acid,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
formaldehyde,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
methanol,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acetic acid,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pyruvic acid,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,-2,0,0,0,0,0
NH3,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,-1,-1,1
alanine,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
oxaloacetic acid,0,0,0,0,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0
aspartic acid,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
malic acid,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0
fumaric acid,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
succinic acid,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0
oxoglutaric acid,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0
glutamic acid ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
acetolactic acid ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
dihydroxyisovaleric acid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0
3-methyl-2-oxobutanoate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0
valine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
glycine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
