CO2,-1,0,0,0,0,0,-1,0
NADPH,0,0,0,-1,0,0,0,0
formate ,1,-1,0,0,0,0,0,0
NADP+,0,0,0,1,0,0,0,0
tetrahyrofolate,0,-1,0,0,0,1,0,0
ATP,0,-1,0,0,0,0,0,0
N10-formyltetrahydrofolate,0,1,-1,0,0,0,0,0
ADP,0,1,0,0,0,0,0,0
phosphate,0,1,0,0,0,0,0,0
H+,0,0,-1,0,-1,-1,-2,1
"5,10-methenyltetrahydrofolate",0,0,1,-1,0,0,0,0
H2O,0,0,1,0,0,0,1,0
"5,10-methylenetetrahydrofolate",0,0,0,1,-1,0,0,0
reduced FeS cluster,0,0,0,0,0,0,-2,0
"5,10-methyltetrahydrofolate",0,0,0,0,1,-1,0,0
oxidized FeS cluster,0,0,0,0,0,0,2,0
NADH,0,0,0,0,-1,0,0,0
NAD+,0,0,0,0,1,0,0,0
corrinoid (I) FeS,0,0,0,0,0,-1,0,1
methyl corrinoid (III) FeS,0,0,0,0,0,1,0,-1
CO,0,0,0,0,0,0,1,-1
coA,0,0,0,0,0,0,0,-1
acetyl coA ,0,0,0,0,0,0,0,1
