"","isomerisation","hydration","reduction","isomerisation","aldol_reaction","aldol_reaction","isomerisation","isomerisation","addition_reaction…._(!","amination","reduction","reduction","dehydration_rehydration","dehydration","isomerisation","deamination","acetaldehyde_transfer","structural_rearrangement_with_reduction","dehydration","reductive_amination","schiff_forming_condensation_reaction","reductive_dehydration","hydrolysis","reductive_amination","epimerisation_(not_super_relevant…)","plp_dependent_decarboxylation","reductive_sulfurylation","methylation","NA","methylation","reduction","reductive_amination","carbamoylation","nucleophillic_attach_at_uriedo_group","fumarate_elimination"
"pyruvate",-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"enol-pyruvate",1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2O",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,1,1,1,0,0,0,0,0
"glycerate",0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2",0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,-1,0,0,0
"glyceraldehyde",0,0,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dihydroxyacetone",0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fructose",0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"xylulose",0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ribulose",0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glycine",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"formaldehyde",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
