"t","CO2","H2","formic_acid","formaldehyde","methanol","CO","acetic_acid","H2O"
0,5000,5000,0,0,0,0,0,0
4.15881249074696e-09,4999,4999,1,0,0,0,0,0
1.58945602060797e-08,4998,4998,2,0,0,0,0,0
2.21312803227548e-08,4997,4997,3,0,0,0,0,0
2.38636900861876e-08,4996,4996,4,0,0,0,0,0
2.95957822653671e-08,4995,4995,5,0,0,0,0,0
3.09510916708713e-08,4994,4994,6,0,0,0,0,0
3.88086059941354e-08,4993,4993,7,0,0,0,0,0
4.03727058460885e-08,4992,4992,8,0,0,0,0,0
4.23845441684429e-08,4991,4991,9,0,0,0,0,0
4.34057049679913e-08,4990,4990,10,0,0,0,0,0
4.41660765320758e-08,4989,4989,11,0,0,0,0,0
4.51363936111787e-08,4988,4988,12,0,0,0,0,0
6.14351521877197e-08,4987,4987,13,0,0,0,0,0
7.32122462059216e-08,4986,4986,14,0,0,0,0,0
7.51840790032248e-08,4985,4985,15,0,0,0,0,0
7.60203803085404e-08,4984,4984,16,0,0,0,0,0
7.62134941091535e-08,4983,4983,17,0,0,0,0,0
8.73821239149435e-08,4982,4982,18,0,0,0,0,0
9.47905822291642e-08,4981,4981,19,0,0,0,0,0
9.89636650308165e-08,4980,4980,20,0,0,0,0,0
1.01370830004491e-07,4979,4979,21,0,0,0,0,0
1.05179632322703e-07,4978,4978,22,0,0,0,0,0
1.07213376192536e-07,4977,4977,23,0,0,0,0,0
1.12097996472617e-07,4976,4976,24,0,0,0,0,0
1.13404520420069e-07,4975,4975,25,0,0,0,0,0
1.14334495462638e-07,4974,4974,26,0,0,0,0,0
1.17022746634582e-07,4973,4973,27,0,0,0,0,0
1.19157893067971e-07,4972,4972,28,0,0,0,0,0
1.24888325823223e-07,4971,4971,29,0,0,0,0,0
1.31245174644217e-07,4970,4970,30,0,0,0,0,0
1.34354480689263e-07,4969,4969,31,0,0,0,0,0
1.3685924461145e-07,4968,4968,32,0,0,0,0,0
1.43460513436406e-07,4967,4967,33,0,0,0,0,0
1.45472538898223e-07,4966,4966,34,0,0,0,0,0
1.51077727036727e-07,4965,4965,35,0,0,0,0,0
1.51761863665754e-07,4964,4964,36,0,0,0,0,0
1.56569406510195e-07,4963,4963,37,0,0,0,0,0
1.59742532396876e-07,4962,4962,38,0,0,0,0,0
1.66307144264234e-07,4961,4961,39,0,0,0,0,0
1.7044276043076e-07,4960,4960,40,0,0,0,0,0
1.71309765489153e-07,4959,4959,41,0,0,0,0,0
1.7400389170727e-07,4958,4958,42,0,0,0,0,0
1.7437835968529e-07,4957,4957,43,0,0,0,0,0
1.77718900426123e-07,4956,4956,44,0,0,0,0,0
1.81551844887047e-07,4955,4955,45,0,0,0,0,0
1.82597658715795e-07,4954,4954,46,0,0,0,0,0
1.90098519356753e-07,4953,4953,47,0,0,0,0,0
1.92229429793112e-07,4952,4952,48,0,0,0,0,0
1.92862272218875e-07,4951,4951,49,0,0,0,0,0
1.95566365209694e-07,4950,4950,50,0,0,0,0,0
1.98358687173192e-07,4949,4949,51,0,0,0,0,0
2.01869099082975e-07,4948,4948,52,0,0,0,0,0
